Home team,Away team,result,date
Crystal Palace,Newcastle, 1:0 ,22/02/20
Southampton,Aston Villa, 2:0 ,22/02/20
Burnley,Bournemouth, 3:0 ,22/02/20
Leicester,Man City, 0:1 ,22/02/20
Man Utd,Watford, 3:0 ,22/02/20
Wolves,Norwich, 3:0 ,22/02/20
Arsenal,Everton, 3:2 ,22/02/20
Liverpool,West Ham, 3:2 ,22/02/20
Man City,Arsenal, ppd. ,28/02/20
Aston Villa,Sheffield Utd., ppd. ,28/02/20
Norwich,Leicester, 1:0 ,28/02/20
Brighton,Crystal Palace, 0:1 ,28/02/20
West Ham,Southampton, 3:1 ,28/02/20
Newcastle,Burnley, 0:0 ,28/02/20
Bournemouth,Chelsea, 2:2 ,28/02/20
Watford,Liverpool, 3:0 ,28/02/20
Spurs,Wolves, 2:3 ,28/02/20
Everton,Man Utd, 1:1 ,28/02/20
Liverpool,Bournemouth, 2:1 ,07/03/20
Arsenal,West Ham, 1:0 ,07/03/20
Crystal Palace,Watford, 1:0 ,07/03/20
Sheffield Utd.,Norwich, 1:0 ,07/03/20
Southampton,Newcastle, 0:1 ,07/03/20
Wolves,Brighton, 0:0 ,07/03/20
Burnley,Spurs, 1:1 ,07/03/20
Chelsea,Everton, 4:0 ,07/03/20
Man Utd,Man City, 2:0 ,07/03/20
Leicester,Aston Villa, 4:0 ,07/03/20
Aston Villa,Chelsea, ppd. ,14/03/20
Watford,Leicester, ppd. ,14/03/20
Spurs,Man Utd, ppd. ,14/03/20
Everton,Liverpool, ppd. ,14/03/20
Brighton,Arsenal, ppd. ,14/03/20
Newcastle,Sheffield Utd., ppd. ,14/03/20
Bournemouth,Crystal Palace, ppd. ,14/03/20
Norwich,Southampton, ppd. ,14/03/20
West Ham,Wolves, ppd. ,14/03/20
Man City,Burnley, ppd. ,14/03/20
Spurs,West Ham, ppd. ,20/03/20
Chelsea,Man City, ppd. ,20/03/20
Burnley,Watford, ppd. ,20/03/20
Newcastle,Aston Villa, ppd. ,20/03/20
Norwich,Everton, ppd. ,20/03/20
Man Utd,Sheffield Utd., ppd. ,20/03/20
Liverpool,Crystal Palace, ppd. ,20/03/20
Leicester,Brighton, ppd. ,20/03/20
Wolves,Bournemouth, ppd. ,20/03/20
Southampton,Arsenal, ppd. ,20/03/20
Aston Villa,Wolves, ppd. ,04/04/20
Brighton,Man Utd, ppd. ,04/04/20
Watford,Southampton, ppd. ,04/04/20
Arsenal,Norwich, ppd. ,04/04/20
Bournemouth,Newcastle, ppd. ,04/04/20
Crystal Palace,Burnley, ppd. ,04/04/20
Sheffield Utd.,Spurs, ppd. ,04/04/20
West Ham,Chelsea, ppd. ,04/04/20
Man City,Liverpool, ppd. ,04/04/20
Everton,Leicester, ppd. ,04/04/20
Newcastle,West Ham, ppd. ,10/04/20
Man Utd,Bournemouth, ppd. ,10/04/20
Burnley,Sheffield Utd., ppd. ,10/04/20
Leicester,Crystal Palace, ppd. ,10/04/20
Southampton,Man City, ppd. ,10/04/20
Norwich,Brighton, ppd. ,10/04/20
Spurs,Everton, ppd. ,10/04/20
Chelsea,Watford, ppd. ,10/04/20
Liverpool,Aston Villa, ppd. ,10/04/20
Wolves,Arsenal, ppd. ,10/04/20
Crystal Palace,Chelsea, ppd. ,18/04/20
Everton,Southampton, ppd. ,18/04/20
West Ham,Burnley, ppd. ,18/04/20
Man City,Newcastle, ppd. ,18/04/20
Bournemouth,Spurs, ppd. ,18/04/20
Watford,Norwich, ppd. ,18/04/20
Arsenal,Leicester, ppd. ,18/04/20
Sheffield Utd.,Wolves, ppd. ,18/04/20
Aston Villa,Man Utd, ppd. ,18/04/20
Brighton,Liverpool, ppd. ,18/04/20
Liverpool,Burnley, ppd. ,25/04/20
Bournemouth,Leicester, ppd. ,25/04/20
Wolves,Everton, ppd. ,25/04/20
Man Utd,Southampton, ppd. ,25/04/20
Watford,Newcastle, ppd. ,25/04/20
Norwich,West Ham, ppd. ,25/04/20
Brighton,Man City, ppd. ,25/04/20
Sheffield Utd.,Chelsea, ppd. ,25/04/20
Spurs,Arsenal, ppd. ,25/04/20
Aston Villa,Crystal Palace, ppd. ,25/04/20
West Ham,Watford, ppd. ,02/05/20
Southampton,Brighton, ppd. ,02/05/20
Burnley,Wolves, ppd. ,02/05/20
Man City,Bournemouth, ppd. ,02/05/20
Newcastle,Spurs, ppd. ,02/05/20
Chelsea,Norwich, ppd. ,02/05/20
Everton,Aston Villa, ppd. ,02/05/20
Crystal Palace,Man Utd, ppd. ,02/05/20
Arsenal,Liverpool, ppd. ,02/05/20
Leicester,Sheffield Utd., ppd. ,02/05/20
Aston Villa,Arsenal, ppd. ,09/05/20
Bournemouth,Southampton, ppd. ,09/05/20
Wolves,Crystal Palace, ppd. ,09/05/20
Watford,Man City, ppd. ,09/05/20
Sheffield Utd.,Everton, ppd. ,09/05/20
Spurs,Leicester, ppd. ,09/05/20
Brighton,Newcastle, ppd. ,09/05/20
Man Utd,West Ham, ppd. ,09/05/20
Liverpool,Chelsea, ppd. ,09/05/20
Norwich,Burnley, ppd. ,09/05/20
Everton,Bournemouth, ppd. ,17/05/20
Arsenal,Watford, ppd. ,17/05/20
Leicester,Man Utd, ppd. ,17/05/20
Man City,Norwich, ppd. ,17/05/20
Southampton,Sheffield Utd., ppd. ,17/05/20
Newcastle,Liverpool, ppd. ,17/05/20
Burnley,Brighton, ppd. ,17/05/20
Crystal Palace,Spurs, ppd. ,17/05/20
Chelsea,Wolves, ppd. ,17/05/20
West Ham,Aston Villa, ppd. ,17/05/20
