Home team,Away team,result
RCD Mallorca,Real Valladolid, 0:1 
Valencia,Celta de Vigo, 1:0 
CD Leganés,Real Sociedad, 2:1 
SD Eibar,Real Betis, 1:1 
Athletic,Getafe, 0:2 
Sevilla FC,Alavés, 1:1 
Villarreal,CA Osasuna, 3:1 
FC Barcelona,Levante, 2:1 
Alavés,SD Eibar, 2:1 
Levante,CD Leganés, 2:0 
Getafe,Valencia, 3:0 
Real Valladolid,Villarreal, 1:1 
Atlético Madrid,Granada CF, 1:0 
Espanyol,RCD Mallorca, 1:0 
Real Sociedad,Athletic, 2:1 
CA Osasuna,Real Madrid, 1:4 
Celta de Vigo,Sevilla FC, 2:1 
Real Betis,FC Barcelona, 2:3 
Valencia,Atlético Madrid, 2:2 
RCD Mallorca,Alavés, 1:0 
FC Barcelona,Getafe, 2:1 
Villarreal,Levante, 2:1 
Granada CF,Real Valladolid, 2:1 
Sevilla FC,Espanyol, 2:2 
CD Leganés,Real Betis, 0:0 
Athletic,CA Osasuna, 0:1 
Real Madrid,Celta de Vigo, 2:2 
SD Eibar,Real Sociedad, 1:2 
Real Betis,RCD Mallorca, 3:3 
Celta de Vigo,CD Leganés, 1:0 
FC Barcelona,SD Eibar, 5:0 
Real Sociedad,Valencia, 3:0 
Levante,Real Madrid, 1:0 
CA Osasuna,Granada CF, 0:3 
Alavés,Athletic, 2:1 
Real Valladolid,Espanyol, 2:1 
Getafe,Sevilla FC, 0:3 
Atlético Madrid,Villarreal, 3:1 
Real Sociedad,Real Valladolid, 1:0 
SD Eibar,Levante, 3:0 
Valencia,Real Betis, 2:1 
CD Leganés,Alavés, 1:1 
Granada CF,Celta de Vigo, 0:0 
Sevilla FC,CA Osasuna, 3:2 
Athletic,Villarreal, 1:0 
Espanyol,Atlético Madrid, 1:1 
RCD Mallorca,Getafe, 0:1 
Real Madrid,FC Barcelona, 2:0 
Alavés,Valencia, 1:1 
SD Eibar,RCD Mallorca, 1:2 
Atlético Madrid,Sevilla FC, 2:2 
FC Barcelona,Real Sociedad, 1:0 
Getafe,Celta de Vigo, 0:0 
CA Osasuna,Espanyol, 1:0 
Real Valladolid,Athletic, 1:4 
Levante,Granada CF, 1:1 
Villarreal,CD Leganés, 1:2 
Real Betis,Real Madrid, 2:1 
Athletic,Atlético Madrid, ppd. 
Celta de Vigo,Villarreal, ppd. 
Espanyol,Alavés, ppd. 
Granada CF,Getafe, ppd. 
CD Leganés,Real Valladolid, ppd. 
RCD Mallorca,FC Barcelona, ppd. 
Real Madrid,SD Eibar, ppd. 
Real Sociedad,CA Osasuna, ppd. 
Sevilla FC,Real Betis, ppd. 
Valencia,Levante, ppd. 
Alavés,Real Sociedad, ppd. 
FC Barcelona,CD Leganés, ppd. 
Real Betis,Granada CF, ppd. 
SD Eibar,Athletic, ppd. 
Getafe,Espanyol, ppd. 
Levante,Sevilla FC, ppd. 
CA Osasuna,Atlético Madrid, ppd. 
Real Madrid,Valencia, ppd. 
Villarreal,RCD Mallorca, ppd. 
Real Valladolid,Celta de Vigo, ppd. 
Athletic,Real Betis, ppd. 
Atlético Madrid,Real Valladolid, ppd. 
Celta de Vigo,Alavés, ppd. 
Espanyol,Levante, ppd. 
Getafe,SD Eibar, ppd. 
Granada CF,Villarreal, ppd. 
RCD Mallorca,CD Leganés, ppd. 
Real Sociedad,Real Madrid, ppd. 
Sevilla FC,FC Barcelona, ppd. 
Valencia,CA Osasuna, ppd. 
Alavés,CA Osasuna, ppd. 
FC Barcelona,Athletic, ppd. 
Real Betis,Espanyol, ppd. 
SD Eibar,Valencia, ppd. 
CD Leganés,Granada CF, ppd. 
Levante,Atlético Madrid, ppd. 
