"Player_ID","Games_Played","Goals","Assists","Yellow_cards","Red_cards"
353,24,0,2,7,0
354,15,0,1,1,0
355,28,4,2,8,0
356,21,1,1,4,0
357,10,1,0,0,0
358,4,0,0,0,0
359,0,0,0,0,0
360,23,3,0,3,0
361,28,4,5,3,0
362,5,0,0,1,0
363,19,5,4,1,0
364,6,0,0,1,0
365,0,0,0,0,0
366,20,2,0,1,0
367,18,6,2,3,0
368,9,0,0,0,0
369,5,0,0,2,0
370,29,40,6,0,0
371,0,0,0,0,0
372,3,1,2,0,0
373,27,2,3,9,0
374,23,3,1,3,0
375,15,1,0,1,0
376,25,0,0,4,0
377,10,0,0,1,0
378,23,0,1,5,0
379,1,0,0,0,0
380,7,0,0,2,0
381,26,1,2,4,0
382,13,0,0,2,0
383,23,2,3,2,0
384,22,2,1,0,0
385,24,0,1,6,0
386,6,0,0,2,0
387,13,0,1,2,0
388,1,0,0,0,0
389,19,0,0,1,0
390,23,3,4,0,0
391,8,2,0,0,0
392,28,8,2,2,0
393,17,2,1,0,0
394,19,1,0,0,0
395,10,25,2,0,0
396,19,27,4,0,0
397,14,1,0,2,0
398,27,1,0,3,0
399,21,1,3,2,0
400,6,0,1,0,0
401,24,1,1,3,1
402,4,0,0,0,0
403,9,0,0,1,0
404,22,0,0,3,0
405,29,4,3,7,0
406,28,0,1,5,0
407,21,3,0,3,0
408,23,3,1,2,0
409,18,2,2,4,1
410,19,0,2,2,0
411,29,15,1,2,0
412,22,0,3,0,0
413,15,2,0,1,0
414,19,2,3,0,0
415,27,28,9,1,0
416,2,4,0,0,0
417,0,0,0,0,0
418,8,0,0,0,1
419,18,1,1,4,0
420,20,0,1,1,0
421,10,0,0,0,0
422,9,0,1,0,0
423,22,3,0,0,0
424,20,0,0,3,0
425,19,0,1,0,0
426,23,2,1,9,0
427,27,1,1,2,0
428,28,0,4,5,0
429,25,0,0,7,0
430,15,2,2,2,0
431,13,0,0,1,0
432,29,3,5,4,0
433,15,1,1,0,0
434,20,1,1,4,0
435,28,8,1,5,0
436,29,40,11,0,0
437,0,0,0,0,0
438,0,0,0,0,0
439,29,1,1,8,0
440,29,0,1,7,0
441,0,0,0,0,0
442,1,0,0,0,0
443,17,0,0,3,0
444,15,0,3,1,0
445,15,0,1,2,0
446,14,0,1,4,0
447,27,0,0,1,0
448,26,2,5,9,0
449,24,2,2,8,0
450,1,0,0,0,0
451,14,1,2,1,0
452,29,2,5,4,0
453,7,1,0,0,0
454,16,0,0,4,0
455,26,11,1,1,0
456,19,6,0,4,0
457,28,5,1,1,0
458,10,2,1,0,0
459,27,22,10,2,0
460,0,0,0,0,0
461,1,3,0,0,0
462,28,0,1,3,0
463,27,0,0,2,0
464,0,0,0,0,0
465,28,0,0,4,0
466,5,0,0,0,0
467,28,2,2,5,0
468,0,0,0,0,0
469,28,2,4,7,0
470,0,0,0,0,0
471,0,0,0,0,0
472,9,0,0,2,0
473,1,0,0,0,0
474,27,5,3,5,0
475,25,5,2,7,0
476,28,1,0,6,0
477,7,0,0,0,0
478,10,0,0,3,0
479,23,5,4,1,0
480,27,4,0,3,0
481,18,3,0,1,1
482,21,0,2,2,0
483,0,0,0,0,0
484,1,0,0,0,0
485,27,45,5,4,0
486,2,6,0,0,0
487,21,0,0,2,1
488,15,0,1,2,0
489,15,0,0,4,0
490,0,0,0,0,0
491,19,1,0,2,0
492,27,0,2,6,0
493,17,0,0,4,0
494,14,0,0,2,0
495,23,1,1,4,0
496,28,1,1,4,0
497,6,0,0,0,0
498,9,0,0,1,0
499,12,1,0,2,0
500,29,6,2,4,0
501,7,0,0,0,0
502,19,0,0,4,0
503,17,1,1,0,0
504,28,0,7,4,0
505,28,11,3,3,0
506,14,1,0,0,0
507,7,2,1,0,0
508,19,17,8,1,0
509,7,7,1,0,0
510,0,0,0,0,0
511,20,2,0,4,0
512,5,1,1,1,0
513,25,3,0,5,0
514,3,0,0,1,0
515,3,1,0,0,0
516,22,0,3,3,0
517,12,1,0,1,0
518,8,0,0,0,0
519,22,3,4,7,0
520,19,0,7,7,0
521,15,3,1,0,0
522,17,0,0,3,0
523,23,0,2,2,0
524,12,0,1,3,0
525,22,21,3,2,0
526,18,0,0,3,0
527,14,0,3,1,0
528,23,1,3,4,1
529,24,7,9,4,0
530,23,5,4,2,0
531,22,20,7,0,0
532,3,4,1,0,1
533,0,0,0,0,2
534,23,2,3,4,0
535,24,0,1,7,0
536,14,1,0,5,0
537,17,0,1,3,0
538,2,0,0,1,0
539,12,1,0,4,0
540,23,3,4,6,0
541,1,0,0,0,0
542,20,1,4,9,0
543,12,3,4,2,0
544,18,2,1,4,0
545,12,2,2,2,0
546,9,1,0,2,0
547,3,0,1,0,0
548,20,2,5,5,0
549,16,0,3,0,0
550,8,0,1,1,0
551,5,1,2,0,0
552,4,0,0,0,0
553,10,1,2,0,0
554,25,17,2,3,0
555,22,12,3,7,2
556,5,1,0,2,0
557,15,23,3,0,0
558,11,13,2,0,0
559,0,0,0,0,0
560,15,0,0,3,1
561,19,3,0,2,0
562,12,1,1,3,1
563,9,0,0,2,0
564,15,0,1,6,0
565,5,0,0,2,0
566,25,2,4,3,0
567,13,0,1,3,0
568,3,0,0,0,0
569,4,0,0,0,0
570,6,1,0,4,0
571,22,2,2,2,0
572,16,1,1,3,0
573,26,2,3,4,0
574,16,1,0,6,0
575,25,5,5,1,0
576,16,2,1,1,0
577,6,0,0,1,0
578,16,0,0,1,0
579,23,2,6,2,0
580,16,9,0,4,0
581,21,6,5,4,0
582,17,3,1,1,0
583,25,35,5,2,0
584,1,0,1,0,0
585,0,0,0,0,0
586,23,1,1,10,0
587,21,2,1,1,0
588,3,0,0,2,0
589,12,0,0,1,1
590,5,0,0,2,0
591,0,0,0,0,0
592,15,0,2,2,0
593,23,6,4,6,0
594,1,0,0,0,0
595,14,0,0,4,0
596,6,0,1,1,0
597,12,0,0,3,0
598,18,1,9,4,0
599,15,1,2,3,1
600,24,2,0,4,0
601,3,0,0,1,0
602,18,4,1,6,0
603,13,6,3,2,0
604,9,0,1,0,0
605,18,4,2,4,0
606,14,3,1,1,0
607,15,3,0,2,0
608,5,0,1,1,0
609,25,12,6,4,0
610,9,2,1,1,0
611,24,30,10,3,0
612,2,3,0,0,0
613,0,0,0,1,0
614,26,0,0,4,0
615,18,0,0,4,1
616,5,0,0,2,0
617,9,0,0,3,0
618,3,0,0,0,0
619,22,5,2,8,0
620,16,0,1,5,0
621,16,0,1,2,1
622,20,0,0,12,0
623,7,0,1,3,0
624,23,1,1,3,0
625,17,2,0,1,0
626,9,0,1,3,0
627,2,0,0,0,0
628,16,0,1,3,0
629,17,0,1,5,0
630,23,3,1,6,0
631,16,0,2,2,1
632,15,6,0,2,0
633,21,2,1,0,0
634,8,3,1,1,0
635,12,7,5,1,0
636,12,6,2,1,0
637,26,23,9,1,0
638,0,0,0,0,0
639,0,0,0,0,0
640,19,1,1,5,0
641,24,2,2,4,0
642,12,0,0,1,0
643,5,0,0,0,1
644,22,1,0,6,0
645,8,1,0,2,0
646,15,0,1,4,1
647,0,0,0,0,0
648,2,0,1,0,0
649,22,0,1,7,0
650,25,4,5,6,0
651,14,1,0,3,0
652,17,0,0,5,0
653,21,0,3,4,0
