Home team,Away team,result,date
Juventus,Sampdoria,ppd.,10/05/20
SSC Napoli,Sassuolo,-:-,10/05/20
SPAL,Torino,ppd.,10/05/20
Cagliari Calcio,Udinese Calcio,ppd.,10/05/20
Parma,Atalanta,ppd.,17/05/20
Fiorentina,Bologna,ppd.,17/05/20
Lazio,Brescia,ppd.,17/05/20
Sassuolo,Genoa,-:-,17/05/20
Cagliari Calcio,Juventus,ppd.,17/05/20
Udinese Calcio,Lecce,ppd.,17/05/20
Sampdoria,AC Milan,ppd.,17/05/20
Torino,AS Roma,ppd.,17/05/20
Hellas Verona,SPAL,ppd.,17/05/20
Inter,SSC Napoli,ppd.,17/05/20
AC Milan,Cagliari Calcio,-:-,24/05/20
SPAL,Fiorentina,-:-,24/05/20
Genoa,Hellas Verona,-:-,24/05/20
Atalanta,Inter,-:-,24/05/20
SSC Napoli,Lazio,-:-,24/05/20
Lecce,Parma,-:-,24/05/20
Juventus,AS Roma,-:-,24/05/20
Brescia,Sampdoria,-:-,24/05/20
Bologna,Torino,-:-,24/05/20
Sassuolo,Udinese Calcio,-:-,24/05/20
