"Home team","Away team","result","date"
"Arsenal","Liverpool"," ppd. ",
"Leicester","Sheffield Utd."," ppd. ",
"Aston Villa","Arsenal"," ppd. ",
"Bournemouth","Southampton"," ppd. ",
"Wolves","Crystal Palace"," ppd. ",
"Watford","Man City"," ppd. ",
"Sheffield Utd.","Everton"," ppd. ",
"Spurs","Leicester"," ppd. ",
"Brighton","Newcastle"," ppd. ",
"Man Utd","West Ham"," ppd. ",
"Liverpool","Chelsea"," ppd. ",
"Norwich","Burnley"," ppd. ",
"Everton","Bournemouth"," ppd. ",
"Arsenal","Watford"," ppd. ",
"Leicester","Man Utd"," ppd. ",
"Man City","Norwich"," ppd. ",
"Southampton","Sheffield Utd."," ppd. ",
"Newcastle","Liverpool"," ppd. ",
"Burnley","Brighton"," ppd. ",
"Crystal Palace","Spurs"," ppd. ",
"Chelsea","Wolves"," ppd. ",
"West Ham","Aston Villa"," ppd. ",
