Home team,Away team,result
Cagliari Calcio,Parma, 2:2 
Sassuolo,AS Roma, 4:2 
Juventus,Fiorentina, 3:0 
Atalanta,Genoa, 2:2 
AC Milan,Hellas Verona, 1:1 
Lazio,SPAL, 5:1 
Lecce,Torino, 4:0 
Udinese Calcio,Inter, 0:2 
Sampdoria,SSC Napoli, 2:4 
AS Roma,Bologna, 2:3 
Fiorentina,Atalanta, 1:2 
Torino,Sampdoria, 1:3 
Hellas Verona,Juventus, 2:1 
SPAL,Sassuolo, 1:2 
Genoa,Cagliari Calcio, 1:0 
SSC Napoli,Lecce, 2:3 
Brescia,Udinese Calcio, 1:1 
Parma,Lazio, 0:1 
Inter,AC Milan, 4:2 
Lecce,SPAL, 2:1 
Bologna,Genoa, 0:3 
Atalanta,AS Roma, 2:1 
Udinese Calcio,Hellas Verona, 0:0 
Juventus,Brescia, 2:0 
Sampdoria,Fiorentina, 1:5 
Sassuolo,Parma, 0:1 
Cagliari Calcio,SSC Napoli, 0:1 
Lazio,Inter, 2:1 
AC Milan,Torino, 1:0 
Hellas Verona,Cagliari Calcio, ppd. 
Torino,Parma, ppd. 
Inter,Sampdoria, ppd. 
Atalanta,Sassuolo, ppd. 
Brescia,SSC Napoli, 1:2 
Bologna,Udinese Calcio, 1:1 
SPAL,Juventus, 1:2 
Fiorentina,AC Milan, 1:1 
Genoa,Lazio, 2:3 
AS Roma,Lecce, 4:0 
Lazio,Bologna, 2:0 
SSC Napoli,Torino, 2:1 
Lecce,Atalanta, 2:7 
Cagliari Calcio,AS Roma, 3:4 
Parma,SPAL, 0:1 
AC Milan,Genoa, 1:2 
Sampdoria,Hellas Verona, 2:1 
Udinese Calcio,Fiorentina, 0:0 
Juventus,Inter, 2:0 
Sassuolo,Brescia, 3:0 
Fiorentina,Brescia, ppd. 
SPAL,Cagliari Calcio, ppd. 
Bologna,Juventus, ppd. 
Atalanta,Lazio, ppd. 
Lecce,AC Milan, ppd. 
Hellas Verona,SSC Napoli, ppd. 
Genoa,Parma, ppd. 
AS Roma,Sampdoria, ppd. 
Inter,Sassuolo, ppd. 
Torino,Udinese Calcio, ppd. 
Udinese Calcio,Atalanta, ppd. 
Sampdoria,Bologna, ppd. 
Lazio,Fiorentina, ppd. 
Brescia,Genoa, ppd. 
Sassuolo,Hellas Verona, ppd. 
Parma,Inter, ppd. 
Juventus,Lecce, ppd. 
AC Milan,AS Roma, ppd. 
SSC Napoli,SPAL, ppd. 
Cagliari Calcio,Torino, ppd. 
Inter,Brescia, ppd. 
Bologna,Cagliari Calcio, ppd. 
Genoa,Juventus, ppd. 
Torino,Lazio, ppd. 
SPAL,AC Milan, ppd. 
Atalanta,SSC Napoli, ppd. 
Hellas Verona,Parma, ppd. 
Lecce,Sampdoria, ppd. 
Fiorentina,Sassuolo, ppd. 
